CUSEC;PROV;DIST;SECC_CEN;C's;IMAGINA BUR;PCAS-TC;PORBUR;PP;PSOE;SAIn;UPYD;VOX;%C's;%IMAGINA BUR;%PCAS-TC;%PORBUR;%PP;%PSOE;%SAIn;%UPYD;%VOX
905902003;9;2;3;66;51;3;22;229;76;3;10;24;13.636;10.537;0.62;4.545;47.314;15.702;0.62;2.066;4.959
905902004;9;2;4;60;54;1;5;152;54;3;5;14;17.241;15.517;0.287;1.437;43.678;15.517;0.862;1.437;4.023
905902005;9;2;5;102;94;1;27;292;104;1;24;27;15.179;13.988;0.149;4.018;43.452;15.476;0.149;3.571;4.018
905903001;9;3;1;52;73;2;7;134;50;3;11;14;15.029;21.098;0.578;2.023;38.728;14.451;0.867;3.179;4.046
905903002;9;3;2;83;92;2;14;244;69;3;15;11;15.572;17.261;0.375;2.627;45.779;12.946;0.563;2.814;2.064
905905014;9;5;14;37;115;13;12;103;107;10;6;7;9.024;28.049;3.171;2.927;25.122;26.098;2.439;1.463;1.707
905905015;9;5;15;92;127;8;23;302;151;2;21;33;12.121;16.733;1.054;3.03;39.789;19.895;0.264;2.767;4.348
905905016;9;5;16;86;118;4;23;316;109;3;14;16;12.482;17.126;0.581;3.338;45.864;15.82;0.435;2.032;2.322
905905017;9;5;17;68;80;1;8;199;67;3;11;10;15.213;17.897;0.224;1.79;44.519;14.989;0.671;2.461;2.237
905905043;9;5;43;152;126;11;24;141;137;1;26;14;24.051;19.937;1.741;3.797;22.31;21.677;0.158;4.114;2.215
905905044;9;5;44;67;140;5;14;85;147;14;12;16;13.4;28.0;1.0;2.8;17.0;29.4;2.8;2.4;3.2
905905045;9;5;45;117;186;11;23;168;219;3;25;11;15.334;24.377;1.442;3.014;22.018;28.702;0.393;3.277;1.442
905909039;9;9;39;58;156;7;16;95;156;5;13;7;11.306;30.409;1.365;3.119;18.519;30.409;0.975;2.534;1.365
905909040;9;9;40;98;162;16;20;123;231;5;16;6;14.476;23.929;2.363;2.954;18.168;34.121;0.739;2.363;0.886
905909041;9;9;41;152;198;14;18;257;270;2;37;15;15.784;20.561;1.454;1.869;26.687;28.037;0.208;3.842;1.558
905909042;9;9;42;100;162;7;24;118;132;3;16;10;17.483;28.322;1.224;4.196;20.629;23.077;0.524;2.797;1.748
905909043;9;9;43;253;258;13;18;219;275;4;26;17;23.361;23.823;1.2;1.662;20.222;25.392;0.369;2.401;1.57
905903003;9;3;3;86;158;7;14;191;181;2;20;8;12.894;23.688;1.049;2.099;28.636;27.136;0.3;2.999;1.199
905903004;9;3;4;36;62;2;7;141;105;0;7;6;9.836;16.94;0.546;1.913;38.525;28.689;0.0;1.913;1.639
905903005;9;3;5;150;268;16;31;225;219;10;39;23;15.291;27.319;1.631;3.16;22.936;22.324;1.019;3.976;2.345
905905018;9;5;18;86;64;0;11;249;43;2;10;15;17.917;13.333;0.0;2.292;51.875;8.958;0.417;2.083;3.125
905905019;9;5;19;48;107;1;13;202;89;6;11;13;9.796;21.837;0.204;2.653;41.224;18.163;1.224;2.245;2.653
905905020;9;5;20;48;112;1;5;150;114;8;15;12;10.323;24.086;0.215;1.075;32.258;24.516;1.72;3.226;2.581
905905021;9;5;21;44;97;2;20;215;86;2;12;14;8.943;19.715;0.407;4.065;43.699;17.48;0.407;2.439;2.846
905905022;9;5;22;82;81;6;20;257;126;7;9;20;13.487;13.322;0.987;3.289;42.27;20.724;1.151;1.48;3.289
905905023;9;5;23;73;77;6;14;207;104;9;11;7;14.37;15.157;1.181;2.756;40.748;20.472;1.772;2.165;1.378
905905046;9;5;46;88;113;5;17;129;134;5;10;4;17.426;22.376;0.99;3.366;25.545;26.535;0.99;1.98;0.792
905905047;9;5;47;214;339;12;28;179;260;8;39;12;19.615;31.072;1.1;2.566;16.407;23.831;0.733;3.575;1.1
905905048;9;5;48;89;139;2;22;150;102;2;10;14;16.792;26.226;0.377;4.151;28.302;19.245;0.377;1.887;2.642
905909044;9;9;44;102;183;10;19;149;180;6;17;15;14.978;26.872;1.468;2.79;21.88;26.432;0.881;2.496;2.203
