CUSEC;PROV;DIST;SECC_CEN;A POR ELLOS;AHORA GETAF;AdAgetafe;C's;IUCM-LV;P.P.;P.S.O.E.;UDEC;UPyD;VOX;%A POR ELLOS;%AHORA GETAF;%AdAgetafe;%C's;%IUCM-LV;%P.P.;%P.S.O.E.;%UDEC;%UPyD;%VOX
2806504029;28;4;29;7;318;13;196;92;304;264;2;60;19;0.549;24.941;1.02;15.373;7.216;23.843;20.706;0.157;4.706;1.49
2806503017;28;3;17;3;198;1;32;34;143;122;0;15;1;0.546;36.066;0.182;5.829;6.193;26.047;22.222;0.0;2.732;0.182
2806503018;28;3;18;6;233;9;30;56;185;169;1;24;3;0.838;32.542;1.257;4.19;7.821;25.838;23.603;0.14;3.352;0.419
2806503042;28;3;42;7;576;14;174;90;201;291;2;51;8;0.495;40.736;0.99;12.306;6.365;14.215;20.58;0.141;3.607;0.566
2806504030;28;4;30;5;373;15;125;94;327;422;0;59;14;0.349;26.011;1.046;8.717;6.555;22.803;29.428;0.0;4.114;0.976
2806503019;28;3;19;4;350;9;49;81;318;228;1;15;1;0.379;33.144;0.852;4.64;7.67;30.114;21.591;0.095;1.42;0.095
2806503020;28;3;20;3;126;2;30;42;153;106;0;13;2;0.629;26.415;0.419;6.289;8.805;32.075;22.222;0.0;2.725;0.419
2806503021;28;3;21;0;165;9;38;32;207;111;0;14;7;0.0;28.302;1.544;6.518;5.489;35.506;19.039;0.0;2.401;1.201
2806503022;28;3;22;4;193;8;71;34;287;139;1;38;5;0.513;24.744;1.026;9.103;4.359;36.795;17.821;0.128;4.872;0.641
2806503023;28;3;23;1;155;4;25;34;157;105;0;15;5;0.2;30.938;0.798;4.99;6.786;31.337;20.958;0.0;2.994;0.998
2806503024;28;3;24;1;211;1;44;43;255;151;0;17;4;0.138;29.023;0.138;6.052;5.915;35.076;20.77;0.0;2.338;0.55
2806503043;28;3;43;10;579;26;200;81;229;326;5;83;6;0.647;37.476;1.683;12.945;5.243;14.822;21.1;0.324;5.372;0.388
2806503044;28;3;44;4;167;7;150;41;259;172;7;22;4;0.48;20.048;0.84;18.007;4.922;31.092;20.648;0.84;2.641;0.48
2806504001;28;4;1;4;137;16;27;38;221;199;1;22;10;0.593;20.296;2.37;4.0;5.63;32.741;29.481;0.148;3.259;1.481
