TIPO_ELECCION;AÑO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
4;2015;5;398;AE EL FRAGO;AGRUPACION ELECTORAL EL FRAGO;398;398;398
4;2015;5;401;AGRUPACION;AGRUPACION ELECTORAL ERRENIEGA;401;401;401
4;2015;5;402;A.E.E.;AGRUPACION ELECTORAL ERRIBURUA;402;402;402
4;2015;5;403;A.E.E.;AGRUPACION ELECTORAL EULATE;403;403;403
4;2015;5;404;F-V-;AGRUPACION ELECTORAL FUENTES DE VALDEPERO;404;404;404
4;2015;5;405;GA;AGRUPACION ELECTORAL GANAR ALBOLOTE;405;405;405
4;2015;5;406;AEGE;AGRUPACION ELECTORAL GARES ENTRETODOS;406;406;406
4;2015;5;408;AEI;AGRUPACION ELECTORAL INDEPENDIENTE;408;408;408
4;2015;5;409;A.E.I.;AGRUPACIÓN ELECTORAL INDEPENDIENTE;409;409;409
4;2015;5;332;TU;AGRUPACION DE ELECTORES TORREJON UNIDO;332;332;332
4;2015;5;410;A.E.I.C.T.;AGRUPACION ELECTORAL INDEPENDIENTE CONDADO DE TREV;410;410;410
4;2015;5;411;A.E.I.A;AGRUPACION ELECTORAL INDEPENDIENTE DE ANGUCIANA;411;411;411
4;2015;5;413;A.E.I.L.;AGRUPACION ELECTORAL INDEPENDIENTE DE LEACHE;413;413;413
4;2015;5;415;AEIDV;AGRUPACION ELECTORAL INDEPENDIENTE DE VILLARMAYOR;415;415;415
4;2015;5;416;AGELINVI;AGRUPACION ELECTORAL INDEPENDIENTE DE VILLERIAS DE;416;416;416
4;2015;5;417;A.E.I.L.P.M;AGRUPACIÓN ELECTORAL INDEPENDIENTE LAS PALOMAS DE;417;417;417
4;2015;5;418;A.E.I.L.;AGRUPACION ELECTORAL INDEPENDIENTE LEGARDA;418;418;418
4;2015;5;419;A.G.E.I.S.M;AGRUPACIÓN ELECTORAL INDEPENDIENTE SAN MARTÍN DE R;419;419;419
4;2015;5;421;A.E.I.S;AGRUPACION ELECTORAL INDEPENDIENTE SANTA CRIZ;421;421;421
4;2015;5;422;A.E.I.M;AGRUPACION ELECTORAL INDEPENDIENTES DE MELIDA;422;422;422
4;2015;5;423;IPLTV;AGRUPACION ELECTORAL INDEPENDIENTES POR LAS TRES V;423;423;423
4;2015;5;424;AEISSG;AGRUPACION ELECTORAL INDEPENDIENTES Y SIMPATIZANTE;424;424;424
4;2015;5;425;AEIUB;AGRUPACION ELECTORAL INDEPENDIENTE URRAUL BAJO;425;425;425
4;2015;5;426;AEIVA;AGRUPACION ELECTORAL INDEPENDIENTE VIRGEN DE ARBUR;426;426;426
4;2015;5;427;VVR;AGRUPACION ELECTORAL INDEPENDIENTE V.V.R;427;427;427
4;2015;5;429;AEJ;AGRUPACIÓN ELECTORAL JUNTAS;429;429;429
4;2015;5;430;A.E.K.15;AGRUPACIÓN ELECTORAL KOSTALERA 2015;430;430;430
4;2015;5;431;A.E.L.;AGRUPACION ELECTORAL LEZARANA;431;431;431
4;2015;5;432;A.E.L.H.A.;AGRUPACION ELECTORAL LOS HUERTOS DE ALFAJARIN;432;432;432
4;2015;5;433;AEM;AGRUPACIÓN ELECTORAL MAÑERU;433;433;433
4;2015;5;434;AGRUPACION;AGRUPACION ELECTORAL MIRALDEA - MANTXOLA;434;434;434
4;2015;5;439;AEP;AGRUPACION ELECTORAL PEÑAFLOR;439;439;439
4;2015;5;440;AGRUPACION;AGRUPACION ELECTORAL PLAZAOLA;440;440;440
4;2015;5;441;AEPY;AGRUPACION ELECTORAL POR YATOVA;441;441;441
4;2015;5;442;AGRUPACION;AGRUPACION ELECTORAL PUENTESINA;442;442;442
4;2015;5;446;AERBI;AGRUPACIÓN ELECTORAL RIBERA BAJA INDEPENDIENTE;446;446;446
4;2015;5;449;AESPM;AGRUPACION ELECTORAL SAN PEDRO MARTIR;449;449;449
4;2015;5;450;AGRUPACION;AGRUPACION ELECTORAL SAN PEDRO MELGAR;450;450;450
4;2015;5;452;AGRUPACION;AGRUPACION ELECTORAL TXANTXALAN;452;452;452
4;2015;5;454;UPSC-KHBS;AGRUPACION ELECTORAL UNIDAD POPULAR SOCIALISTA CAS;454;454;454
4;2015;5;455;UNIDOS POR;AGRUPACIÓN ELECTORAL UNIDOS POR ARAFO;455;455;455
4;2015;5;456;AGRUPACIÓN;AGRUPACIÓN ELECTORAL UNIDOS POR PLANES DEL REI;456;456;456
4;2015;5;457;AGRUPACION;"AGRUPACION ELECTORAL ""XIMENEZ DE RADA""";457;457;457
4;2015;5;458;YO TAMBIEN;AGRUPACIÓN ELECTORAL YO TAMBIEN QUIERO;458;458;458
4;2015;5;459;AGRUPACIÓN;AGRUPACIÓN ELECTORAL ZUGARRAMURDI;459;459;459
4;2015;5;460;AC;AGRUPACION ELECTORES ACTIVEMOS COBISA;460;460;460
4;2015;5;461;AUZOLAN;AGRUPACION ELECTORES AUZOLAN;461;461;461
4;2015;5;462;AEA;AGRUPACION ELECTORES DE ADIOS;462;462;462
4;2015;5;463;AEC;AGRUPACIÓN ELECTORES DE CABANAS;463;463;463
4;2015;5;464;AGRUPACION;AGRUPACION ELECTORES GAZTELUBERRI;464;464;464
4;2015;5;465;AEH;AGRUPACION ELECTORES HERMISENDE;465;465;465
4;2015;5;466;HDLC;AGRUPACION ELECTORES HONTORIA DE LA CANTERA;466;466;466
4;2015;5;467;ADEI;AGRUPACION ELECTORES IGUÑA;467;467;467
4;2015;5;468;E.I.C.A.;"AGRUPACION ELECTORES INDEPENDIENTES ""CAÑAMERO AVAN";468;468;468
4;2015;5;471;A.E.P.R.P.;AGRUPACIÓN ELECTORES PARTIDO RURAL POPULAR;471;471;471
4;2015;5;472;AGRELSAN;AGRUPACION ELECTORES SANDIAS;472;472;472
4;2015;5;473;AGRUPACION;AGRUPACION ELECTORES SAN MARTIN;473;473;473
4;2015;5;475;UxV;AGRUPACION ELECTORES UNION POR VELADA;475;475;475
4;2015;5;478;AE;AGRUPACION EL ENCINAL HERRI TALDEA;478;478;478
4;2015;5;479;AE;AGRUPACION ELIBIDEA;479;479;479
4;2015;5;480;A.E.M;AGRUPACION EL MENDI;480;480;480
4;2015;5;481;AGRUPACION;AGRUPACION ETXAPE;481;481;481
4;2015;5;483;AFI;AGRUPACION FITERANA INDEPENDIENTE;483;483;483
4;2015;5;484;A.F.I;AGRUPACION FUSTIÑANA DE IZQUIERDAS;484;484;484
4;2015;5;485;AFT;AGRUPACIÓN FUTURO EN TORRELAGUNA;485;485;485
4;2015;5;487;A.I.M.;AGRUPACION IDEPENDIENTE DE MOYA;487;487;487
4;2015;5;488;AIEBA;AGRUPACION INDEP DE ELECTORES DE BERROCALEJO DE AR;488;488;488
4;2015;5;489;AIVE;AGRUPACIÓN INDEPEDIENTE DEL VALLE DE ERRO;489;489;489
4;2015;5;490;A.I.L.A.;AGRUPACION INDEPENCIENTE LA ANTANILLA;490;490;490
4;2015;5;491;AGRUPACION;AGRUPACION INDEPENDIENTE;491;491;491
4;2015;5;492;AIA;AGRUPACION INDEPENDIENTE ACEBEDO;492;492;492
4;2015;5;493;A.I.A.C.;AGRUPACION INDEPENDIENTE AGUILAR DE CODES;493;493;493
4;2015;5;494;AIA;AGRUPACIÓN INDEPENDIENTE AIZPEA;494;494;494
4;2015;5;495;AGRUPACION;AGRUPACION INDEPENDIENTE ALMIRADIO DE NAVASCUES;495;495;495
4;2015;5;496;AGRUPACIÓN;AGRUPACIÓN INDEPENDIENTE AMESCOA -BAJA;496;496;496
4;2015;5;498;A.I.A.;AGRUPACIÓN INDEPENDIENTE ANTORIN;498;498;498
4;2015;5;500;A.I.B;AGRUPACION INDEPENDIENTE BARASOAIN;500;500;500
4;2015;5;132;AF;AGRUPACIÓN DE ELECTORES ALTERNATIVA FOGARS;132;132;132
4;2015;5;133;ALPO;AGRUPACION DE ELECTORES ALTERNATIVA POZO CAÑADA;133;133;133
4;2015;5;134;AV;AGRUPACION DE ELECTORES ALTERNATIVA VECIÑAL;134;134;134
4;2015;5;135;AEA;AGRUPACION DE ELECTORES AMARRAIN;135;135;135
4;2015;5;136;ANDO SATAUT;AGRUPACION DE ELECTORES ANDO SATAUTE;136;136;136
4;2015;5;137;ASSP;AGRUPACION DE ELECTORES ANTEQUERA SI SE PUEDE;137;137;137
4;2015;5;138;AGRUPACION;AGRUPACION DE ELECTORES ARACENA PUEDE;138;138;138
4;2015;5;139;AB;AGRUPACIÓN DE ELECTORES ASPARRENA BIDEAN;139;139;139
4;2015;5;140;AGB;AGRUPACION DE ELECTORES ASSOCIACIO GUANYEM BENETUS;140;140;140
4;2015;5;141;AVANTE;AGRUPACIÓN DE ELECTORES AVANTE;141;141;141
4;2015;5;143;AEBenadalid;AGRUPACION DE ELECTORES BENADALID UNIDO;143;143;143
4;2015;5;144;CsM;AGRUPACION DE ELECTORES CABEZON SE MUEVE;144;144;144
4;2015;5;145;C.H./U.A;AGRUPACIÓN DE ELECTORES CAMBIANDO HUARTE / UHARTE;145;145;145
4;2015;5;146;A.E.C.I.P.;AGRUPACION DE ELECTORES CAMBIO INTELIXENTE DE PUNX;146;146;146
