CUSEC;PROV;DIST;SECC_CEN;C's;IMAGINA BUR;PCAS-TC;PORBUR;PP;PSOE;SAIn;UPYD;VOX
0905905050;09;5;50;116;104;11;20;137;91;5;8;28
0905906001;09;6;01;34;58;0;13;179;63;3;12;11
0905906002;09;6;02;58;74;4;11;157;50;2;1;13
0905906003;09;6;03;59;57;4;8;167;54;4;6;12
0905906004;09;6;04;98;117;5;19;269;126;4;19;21
0905906005;09;6;05;80;112;7;17;252;141;9;13;15
0905905002;09;5;02;94;85;4;18;206;101;1;14;31
0905905003;09;5;03;75;77;5;11;171;100;2;7;9
0905905004;09;5;04;69;97;4;12;219;115;6;17;13
0905905005;09;5;05;55;75;4;9;182;112;4;15;12
0905905006;09;5;06;70;50;1;18;227;45;2;4;23
0905905007;09;5;07;105;79;2;19;254;80;3;9;23
0905905008;09;5;08;58;99;5;12;140;86;0;6;7
0905905009;09;5;09;77;122;8;22;286;111;1;10;7
0905905010;09;5;10;101;111;6;22;253;116;3;21;17
0905909026;09;9;26;74;110;11;12;247;166;5;25;6
0905909027;09;9;27;74;125;7;24;205;199;13;13;10
0905909028;09;9;28;52;115;3;5;130;158;3;11;6
0905909029;09;9;29;71;90;7;10;158;164;0;22;6
0905909030;09;9;30;51;102;6;10;160;162;1;5;6
0905909031;09;9;31;52;120;7;9;122;176;0;16;8
0905909032;09;9;32;22;85;3;12;116;122;1;9;6
0905909033;09;9;33;36;95;3;8;115;116;5;7;5
0905909034;09;9;34;55;72;4;20;151;96;2;12;2
0905909035;09;9;35;114;287;9;24;191;299;6;23;14
0905901001;09;1;01;62;58;2;11;136;61;0;6;15
0905905011;09;5;11;86;86;11;19;318;87;3;13;20
0905905012;09;5;12;71;117;7;13;127;140;3;6;11
0905905013;09;5;13;78;158;7;17;169;179;5;6;7
0905909036;09;9;36;56;97;9;7;120;147;3;11;5
0905909037;09;9;37;60;157;3;27;135;172;2;13;10
0905909038;09;9;38;69;100;3;14;115;149;3;14;5
0905905036;09;5;36;49;43;5;20;169;48;1;4;16
0905905037;09;5;37;83;56;5;7;272;74;0;7;32
0905905038;09;5;38;190;244;16;54;262;186;3;27;30
0905905039;09;5;39;44;138;5;12;90;135;10;11;11
0905905040;09;5;40;126;243;10;21;195;225;6;27;23
0905905041;09;5;41;110;163;5;26;176;117;2;13;18
0905905042;09;5;42;177;195;10;36;261;225;2;29;20
0905901002;09;1;02;59;81;4;13;122;70;7;15;11
0905902001;09;2;01;57;83;0;14;157;46;0;12;14
0905902002;09;2;02;60;54;2;9;151;40;0;9;21
0905902003;09;2;03;66;51;3;22;229;76;3;10;24
0905902004;09;2;04;60;54;1;5;152;54;3;5;14
0905902005;09;2;05;102;94;1;27;292;104;1;24;27
0905903001;09;3;01;52;73;2;7;134;50;3;11;14
0905903002;09;3;02;83;92;2;14;244;69;3;15;11
0905905014;09;5;14;37;115;13;12;103;107;10;6;7
0905905015;09;5;15;92;127;8;23;302;151;2;21;33
0905905016;09;5;16;86;118;4;23;316;109;3;14;16
0905905017;09;5;17;68;80;1;8;199;67;3;11;10
0905905043;09;5;43;152;126;11;24;141;137;1;26;14
0905905044;09;5;44;67;140;5;14;85;147;14;12;16
0905905045;09;5;45;117;186;11;23;168;219;3;25;11
0905909039;09;9;39;58;156;7;16;95;156;5;13;7
0905909040;09;9;40;98;162;16;20;123;231;5;16;6
0905909041;09;9;41;152;198;14;18;257;270;2;37;15
0905909042;09;9;42;100;162;7;24;118;132;3;16;10
0905909043;09;9;43;253;258;13;18;219;275;4;26;17
0905903003;09;3;03;86;158;7;14;191;181;2;20;8
0905903004;09;3;04;36;62;2;7;141;105;0;7;6
